time_s,target_azimuth_deg,target_elevation_deg,target_detectable,human_detected
0.00000,20.00000,30.00000,true,false
0.01000,20.03000,30.00000,true,false
0.02000,20.06000,30.00000,true,false
0.03000,20.09000,30.00000,true,false
0.04000,20.12000,30.00000,true,false
0.05000,20.15000,30.00000,true,false
0.06000,20.18000,30.00000,true,false
0.07000,20.21000,30.00000,true,false
0.08000,20.24000,30.00000,true,false
0.09000,20.27000,30.00000,true,false
0.10000,20.30000,30.00000,true,false
0.11000,20.33000,30.00000,true,false
0.12000,20.36000,30.00000,true,false
0.13000,20.39000,30.00000,true,false
0.14000,20.42000,30.00000,true,false
0.15000,20.45000,30.00000,true,false
0.16000,20.48000,30.00000,true,false
0.17000,20.51000,30.00000,true,false
0.18000,20.54000,30.00000,true,false
0.19000,20.57000,30.00000,true,false
0.20000,20.60000,30.00000,true,false
0.21000,20.63000,30.00000,true,false
0.22000,20.66000,30.00000,true,false
0.23000,20.69000,30.00000,true,false
0.24000,20.72000,30.00000,true,false
0.25000,20.75000,30.00000,true,false
0.26000,20.78000,30.00000,true,false
0.27000,20.81000,30.00000,true,false
0.28000,20.84000,30.00000,true,false
0.29000,20.87000,30.00000,true,false
0.30000,20.90000,30.00000,true,false
0.31000,20.93000,30.00000,true,false
0.32000,20.96000,30.00000,true,false
0.33000,20.99000,30.00000,true,false
0.34000,21.02000,30.00000,true,false
0.35000,21.05000,30.00000,true,false
0.36000,21.08000,30.00000,true,false
0.37000,21.11000,30.00000,true,false
0.38000,21.14000,30.00000,true,false
0.39000,21.17000,30.00000,true,false
0.40000,21.20000,30.00000,true,false
0.41000,21.23000,30.00000,true,false
0.42000,21.26000,30.00000,true,false
0.43000,21.29000,30.00000,true,false
0.44000,21.32000,30.00000,true,false
0.45000,21.35000,30.00000,true,false
0.46000,21.38000,30.00000,true,false
0.47000,21.41000,30.00000,true,false
0.48000,21.44000,30.00000,true,false
0.49000,21.47000,30.00000,true,false
0.50000,21.50000,30.00000,true,false
0.51000,21.53000,30.00000,true,false
0.52000,21.56000,30.00000,true,false
0.53000,21.59000,30.00000,true,false
0.54000,21.62000,30.00000,true,false
0.55000,21.65000,30.00000,true,false
0.56000,21.68000,30.00000,true,false
0.57000,21.71000,30.00000,true,false
0.58000,21.74000,30.00000,true,false
0.59000,21.77000,30.00000,true,false
0.60000,21.80000,30.00000,true,false
0.61000,21.83000,30.00000,true,false
0.62000,21.86000,30.00000,true,false
0.63000,21.89000,30.00000,true,false
0.64000,21.92000,30.00000,true,false
0.65000,21.95000,30.00000,true,false
0.66000,21.98000,30.00000,true,false
0.67000,22.01000,30.00000,true,false
0.68000,22.04000,30.00000,true,false
0.69000,22.07000,30.00000,true,false
0.70000,22.10000,30.00000,true,false
0.71000,22.13000,30.00000,true,false
0.72000,22.16000,30.00000,true,false
0.73000,22.19000,30.00000,true,false
0.74000,22.22000,30.00000,true,false
0.75000,22.25000,30.00000,true,false
0.76000,22.28000,30.00000,true,false
0.77000,22.31000,30.00000,true,false
0.78000,22.34000,30.00000,true,false
0.79000,22.37000,30.00000,true,false
0.80000,22.40000,30.00000,true,false
0.81000,22.43000,30.00000,true,false
0.82000,22.46000,30.00000,true,false
